#INFO,Version=0.0.2,Template= eBay-draft-listings-template_US,,,,,,,,
#INFO Action and Category ID are required fields. 1) Set Action to Draft 2) Please find the category ID for your listings here: https://pages.ebay.com/sellerinformation/news/categorychanges.html,,,,,,,,,,
"#INFO After you've successfully uploaded your draft from the Seller Hub Reports tab, complete your drafts to active listings here: https://www.ebay.com/sh/lst/drafts",,,,,,,,,,
#INFO,,,,,,,,,,
Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,Format
Draft,SWAMPERT-2003-EXRUBYSAPPHIRE-REVERSEFOIL-23-PSA9,183454,2003 Pokemon EX Ruby & Sapphire Swampert Reverse Foil #23 PSA 9,,177.13,1,,2750,<p><b>2003 Pokemon EX Ruby & Sapphire Swampert #23</b></p><p><b>Grade:</b> PSA 9 MINT</p><p>Reverse Foil</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $183.25 | Recent Sales Range: $139.00 - $227.50 | Based on 1 market source</p><p>Card ships in PSA protective case with tracking.</p>,FixedPrice
Draft,V-2022-SWSH-ASTRALRADIANCE-177-PSA10,183454,2022 Pokemon SWSH Dialga V Astral Radiance #177 PSA 10,,200.04,1,,2750,<p><b>2022 Pokemon SWSH Dialga V #177</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Astral Radiance</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $177.82 | Recent Sales Range: $147.50 - $214.60 | Based on 2 market sources</p><p>Card ships in PSA protective case with tracking.</p>,FixedPrice
Draft,RAYQUAZA-2020-SWORDSHIELDVIVIDVOLTAGE-AMAZINGRARE-138-PSA10,183454,2020 Pokemon Sword & Shield Vivid Voltage Rayquaza Amazing Rare #138 PSA 10,,54.80,1,,2750,<p><b>2020 Pokemon Sword & Shield Vivid Voltage Rayquaza #138</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Amazing Rare</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $64.09 | Recent Sales Range: $28.80 - $202.50 | Based on 2 market sources</p><p>Card ships in PSA protective case with tracking.</p>,FixedPrice
Draft,ARCEUS-2022-VSTARUNIVERSE-ULTRARARE-262-PSA10,183454,2022 Pokemon VSTAR Universe Arceus Ultra Rare #262 PSA 10,,183.91,1,,2750,<p><b>2022 Pokemon VSTAR Universe Arceus #262</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Ultra Rare</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $163.47 | Recent Sales Range: $62.40 - $260.00 | Based on 2 market sources</p><p>Card ships in PSA protective case with tracking.</p>,FixedPrice
Draft,V-2021-SWORDSHIELDCHILLINGREIGN-FULLART-177-PSA9,183454,2021 Pokemon Sword & Shield - Chilling Reign Galarian Moltres V Full Art #177...,,228.33,1,,2750,<p><b>2021 Pokemon Sword & Shield - Chilling Reign Galarian Moltres V #177</b></p><p><b>Grade:</b> PSA 9 MINT</p><p>Full Art</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $207.95 | Recent Sales Range: $167.90 - $275.00 | Based on 2 market sources</p><p>Card ships in PSA protective case with tracking.</p>,FixedPrice
Draft,EX-2024-SV8AJP-SPECIALARTRARE-207-PSA10,183454,2024 Pokemon SV8a JP Palafin ex Special Art Rare #207 PSA 10,,55.90,1,,2750,<p><b>2024 Pokemon SV8a JP Palafin ex #207</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Special Art Rare</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $56.21 | Recent Sales Range: $40.95 - $70.00 | Based on 2 market sources</p><p>Card ships in PSA protective case with tracking.</p>,FixedPrice
Draft,V-2022-SWORDSHIELDASTRALRADIANCE-177-PSA10,183454,2022 Pokemon Sword & Shield - Astral Radiance Origin Forme Dialga V #177 PSA 10,,216.60,1,,2750,<p><b>2022 Pokemon Sword & Shield - Astral Radiance Origin Forme Dialga V #177</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $200.23 | Recent Sales Range: $78.00 - $250.00 | Based on 2 market sources</p><p>Card ships in PSA protective case with tracking.</p>,FixedPrice
Draft,562-1999-FOSSIL-UNLIMITEDHOLO-562-CGCCARDS8,183454,1999 Wizards of the Coast Fossil Gengar 5/62 Unlimited Holo #5/62 CGC Cards 8,,117.48,1,,2750,<p><b>1999 Wizards of the Coast Fossil Gengar 5/62 #5/62</b></p><p><b>Grade:</b> CGC Cards 8</p><p>Unlimited Holo</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $130.53 | Recent Sales Range: $30.00 - $275.00 | Based on 2 market sources</p><p>Card ships in CGC Cards protective case with tracking.</p>,FixedPrice
Draft,BULBASAUR-1999-BASESET1STEDITION-44102-CGCCARDS9,183454,1999 Wizards of the Coast Base Set - 1st Edition Bulbasaur #44/102 CGC Cards 9,,37.13,1,,2750,<p><b>1999 Wizards of the Coast Base Set - 1st Edition Bulbasaur #44/102</b></p><p><b>Grade:</b> CGC Cards 9</p><p>Pokemon</p><p><b>Market Data:</b> Avg Market Value: $41.26 | Recent Sales Range: $17.20 - $89.80 | Based on 1 market source</p><p>Card ships in CGC Cards protective case with tracking.</p>,FixedPrice
