#INFO,Version=0.0.2,Template= eBay-draft-listings-template_US,,,,,,,,
#INFO Action and Category ID are required fields. 1) Set Action to Draft 2) Please find the category ID for your listings here: https://pages.ebay.com/sellerinformation/news/categorychanges.html,,,,,,,,,,
"#INFO After you've successfully uploaded your draft from the Seller Hub Reports tab, complete your drafts to active listings here: https://www.ebay.com/sh/lst/drafts",,,,,,,,,,
#INFO,,,,,,,,,,
Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,Format
Draft,FAVRE-YR-EMANATE-54-RAW,215,0 Panini Emanate Brett Favre Green Bay Packers /99,,51.34,1,,3000,<p><b>0 Panini Emanate Brett Favre #</b></p><p><b>Serial Numbered:</b> 54/99</p><p>Autograph</p><p>Green Bay Packers | Football</p><p><b>VINTAGE</b></p><p><b>Market Data:</b> Avg Market Value: $57.04 | Recent Sales Range: $1.00 - $260.25 | Based on 1 market source</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,CHASE-YR-EMANATE-1-RAW,215,0 Panini Emanate Ja'Marr Chase Cincinnati Bengals /5,,70.37,1,,3000,<p><b>0 Panini Emanate Ja'Marr Chase #</b></p><p><b>Serial Numbered:</b> 1/5</p><p>Autograph</p><p>Cincinnati Bengals | Football</p><p><b>VINTAGE</b></p><p><b>Market Data:</b> Avg Market Value: $78.19 | Recent Sales Range: $25.79 - $208.85 | Based on 1 market source</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,WILSON-YR-EMANATE-05-RAW,215,0 Panini Emanate Russell Wilson New York Giants /50,,14.20,1,,3000,<p><b>0 Panini Emanate Russell Wilson #</b></p><p><b>Serial Numbered:</b> 05/50</p><p>Autograph</p><p>New York Giants | Football</p><p><b>VINTAGE</b></p><p><b>Market Data:</b> Avg Market Value: $15.78 | Recent Sales Range: $0.30 - $80.00 | Based on 1 market source</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,COLLINS-YR-EMANATE-24-RAW,215,0 Panini Emanate Nico Collins Houston Texans /50,,10.42,1,,3000,<p><b>0 Panini Emanate Nico Collins #</b></p><p><b>Serial Numbered:</b> 24/50</p><p>Autograph</p><p>Houston Texans | Football</p><p><b>VINTAGE</b></p><p><b>Market Data:</b> Avg Market Value: $11.58 | Recent Sales Range: $0.99 - $67.57 | Based on 1 market source</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,CROSBY-YR-EMANATE-05-RAW,215,0 Panini Emanate Maxx Crosby Las Vegas Raiders /10,,38.74,1,,3000,<p><b>0 Panini Emanate Maxx Crosby #</b></p><p><b>Serial Numbered:</b> 05/10</p><p>Autograph</p><p>Las Vegas Raiders | Football</p><p><b>VINTAGE</b></p><p><b>Market Data:</b> Avg Market Value: $43.05 | Recent Sales Range: $1.59 - $176.90 | Based on 1 market source</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,KUPP-YR-EMANATE-14-RAW,215,0 Panini Emanate Cooper Kupp Seattle Seahawks /25,,39.72,1,,3000,<p><b>0 Panini Emanate Cooper Kupp #</b></p><p><b>Serial Numbered:</b> 14/25</p><p>Autograph</p><p>Seattle Seahawks | Football</p><p><b>VINTAGE</b></p><p><b>Market Data:</b> Avg Market Value: $44.14 | Recent Sales Range: $1.50 - $114.25 | Based on 1 market source</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
